Time, Input Voltage, Net Torque, Lift Force
0, 0, 0, 0
0.0199999995529652, 0, 0, 0
0.0399999991059303, 0, 0, 0
0.0599999986588955, 0, 0, 0
0.0799999982118607, 0, 0, 0
0.0999999940395355, 0, 0, 0
0.119999997317791, 1, 0.779697153753968, 0.0225151668548872
0.140000000596046, 1, 0.52130491598059, 0.0475750089441638
0.159999996423721, 1, 0.409053500508336, 0.0613443290257326
0.179999992251396, 1, 0.360303151500481, 0.0678677663158326
0.199999988079071, 1, 0.339133743100434, 0.0708029715252809
0.219999998807907, 1, 0.329941619170774, 0.0720968051325003
0.239999994635582, 1, 0.325950334832336, 0.0726622384512474
0.259999990463257, 1, 0.324217309265101, 0.0729084375743774
0.280000001192093, 1, 0.32346482864368, 0.0730154668030315
0.299999982118607, 1, 0.323138101795892, 0.0730619632631723
0.319999992847443, 1, 0.322996237222134, 0.0730821565950042
0.340000003576279, 1, 0.322934639743933, 0.073090925389999
0.359999984502792, 1, 0.322907894175156, 0.0730947329562987
0.379999995231628, 1, 0.322896281274426, 0.0730963862288222
0.399999976158142, 1, 0.322891238964037, 0.0730971040839826
